Registration Number,Username,Password,Email,Phone Number,User Type
CB.EN.U4CSE20203,Elvia Black,    conscience,cb.en.u4cse20203@cb.students.amrita.edu,+91-995-558-5095,STUDENT
CB.EN.U4CSE20204,Faye Nunez,    introduction,cb.en.u4cse20204@cb.students.amrita.edu,+91-755-527-0450,STUDENT
CB.EN.U4CSE20205,Lindsay Jarvis,    publisher,cb.en.u4cse20205@cb.students.amrita.edu,+91-755-540-5772,STUDENT
CB.EN.U4CSE20206,Winston Boyer,    champagne,cb.en.u4cse20206@cb.students.amrita.edu,+91-905-559-6953,STUDENT
CB.EN.U4CSE20207,Lily Mcmillan,    complication,cb.en.u4cse20207@cb.students.amrita.edu,+91-755-554-6019,STUDENT
CB.EN.U4CSE20208,Ina Rowe,    recommend,cb.en.u4cse20208@cb.students.amrita.edu,+91-855-553-9737,STUDENT
CB.EN.U4CSE20209,Elnora Lutz,    satisfied,cb.en.u4cse20209@cb.students.amrita.edu,+91-935-558-4487,STUDENT
CB.EN.U4CSE20210,Eugene Washington,    commitment,cb.en.u4cse20210@cb.students.amrita.edu,+91-755-560-5495,STUDENT
CB.EN.U4CSE20211,Tabatha Sandoval,    encourage,cb.en.u4cse20211@cb.students.amrita.edu,+91-855-578-2796,STUDENT
CB.EN.U4CSE20212,Sebastian Wise,    atmosphere,cb.en.u4cse20212@cb.students.amrita.edu,+91-855-509-3468,STUDENT
CB.EN.U4CSE20213,Hattie Parrish,    disappointment,cb.en.u4cse20213@cb.students.amrita.edu,+91-925-554-7906,STUDENT
CB.EN.U4CSE20214,Dino Hooper,    destruction,cb.en.u4cse20214@cb.students.amrita.edu,+91-855-500-6138,STUDENT
CB.EN.U4CSE20215,Corey Ryan,    commemorate,cb.en.u4cse20215@cb.students.amrita.edu,+91-755-567-9537,STUDENT
CB.EN.U4CSE20216,Armand Obrien,    conception,cb.en.u4cse20216@cb.students.amrita.edu,+91-855-581-9291,STUDENT
CB.EN.U4CSE20217,Merlin Gonzales,    excavation,cb.en.u4cse20217@cb.students.amrita.edu,+91-955-552-3591,STUDENT
CB.EN.U4CSE20218,Debra Saunders,    injection,cb.en.u4cse20218@cb.students.amrita.edu,+91-945-558-2984,STUDENT
CB.EN.U4CSE20219,Jarod Norman,    reference,cb.en.u4cse20219@cb.students.amrita.edu,+91-855-583-3688,STUDENT
CB.EN.U4CSE20220,Tracy Velazquez,    influence,cb.en.u4cse20220@cb.students.amrita.edu,+91-985-557-7844,STUDENT
CB.EN.U4CSE20300,Paisley Morley,    continuous,cb.en.u4cse20300@cb.students.amrita.edu,+91-755-510-5967,STUDENT
CB.EN.U4CSE20301,Madelaine Harper,    clearance,cb.en.u4cse20301@cb.students.amrita.edu,+91-755-571-1263,STUDENT
CB.EN.U4CSE20302,Etienne Mcarthur,    contradiction,cb.en.u4cse20302@cb.students.amrita.edu,+91-755-558-8308,STUDENT
CB.EN.U4CSE20303,Kellie England,    isolation,cb.en.u4cse20303@cb.students.amrita.edu,+91-755-546-4205,STUDENT
CB.EN.U4CSE20304,Anwar Rice,    prosecute,cb.en.u4cse20304@cb.students.amrita.edu,+91-855-576-6974,STUDENT
CB.EN.U4CSE20305,Arjan Doyle,    competence,cb.en.u4cse20305@cb.students.amrita.edu,+91-925-558-0882,STUDENT
CB.EN.U4CSE20306,Saul Downs,    girlfriend,cb.en.u4cse20306@cb.students.amrita.edu,+91-755-584-6892,STUDENT
CB.EN.U4CSE20307,Raymond Huynh,    evolution,cb.en.u4cse20307@cb.students.amrita.edu,+91-995-554-6439,STUDENT
CB.EN.U4CSE20308,Odin Norris,    computer virus,cb.en.u4cse20308@cb.students.amrita.edu,+91-755-572-1409,STUDENT
CB.EN.U4CSE20309,Kuba Nolan,    personality,cb.en.u4cse20309@cb.students.amrita.edu,+91-945-553-4667,STUDENT
CB.EN.U4CSE20310,Miguel Dowling,    attachment,cb.en.u4cse20310@cb.students.amrita.edu,+91-855-580-7419,STUDENT
CB.EN.U4CSE20311,Kavita Talbot,    motivation,cb.en.u4cse20311@cb.students.amrita.edu,+91-755-565-2110,STUDENT
CB.EN.U4CSE20312,Bryce Blankenship,    litigation,cb.en.u4cse20312@cb.students.amrita.edu,+91-855-547-2502,STUDENT
CB.EN.U4CSE20313,Daniele Tomlinson,    reproduction,cb.en.u4cse20313@cb.students.amrita.edu,+91-855-541-5472,STUDENT
CB.EN.U4CSE20314,Alister Wise,    nightmare,cb.en.u4cse20314@cb.students.amrita.edu,+91-755-584-6606,STUDENT
CB.EN.U4CSE20315,Blossom Berg,    convenience,cb.en.u4cse20315@cb.students.amrita.edu,+91-855-519-3697,STUDENT
CB.EN.U4CSE20316,Arissa Pratt,    directory,cb.en.u4cse20316@cb.students.amrita.edu,+91-855-591-2433,STUDENT
CB.EN.U4CSE20317,Indigo Moses,    expertise,cb.en.u4cse20317@cb.students.amrita.edu,+91-905-557-6190,STUDENT
CB.EN.U4CSE20318,Vincent Hensley,    enthusiasm,cb.en.u4cse20318@cb.students.amrita.edu,+91-755-571-0237,STUDENT
CB.EN.U4CSE20319,Kamil Charles,    discourage,cb.en.u4cse20319@cb.students.amrita.edu,+91-755-592-7786,STUDENT
CB.EN.U4CSE20320,Clive Berger,    connection,cb.en.u4cse20320@cb.students.amrita.edu,+91-915-553-5221,STUDENT
CB.EN.U4CSE20400,Eoin Raymond,    difference,cb.en.u4cse20400@cb.students.amrita.edu,+91-755-543-8496,STUDENT
CB.EN.U4CSE20401,Shayna Deleon,    reconcile,cb.en.u4cse20401@cb.students.amrita.edu,+91-855-599-1226,STUDENT
CB.EN.U4CSE20402,Edna Moore,    socialist,cb.en.u4cse20402@cb.students.amrita.edu,+91-855-589-1361,STUDENT
CB.EN.U4CSE20403,Firat Glover,    liability,cb.en.u4cse20403@cb.students.amrita.edu,+91-915-554-7394,STUDENT
CB.EN.U4CSE20404,Bianka Boyce,    captivate,cb.en.u4cse20404@cb.students.amrita.edu,+91-905-556-1116,STUDENT
CB.EN.U4CSE20405,Katerina Giles,    combination,cb.en.u4cse20405@cb.students.amrita.edu,+91-855-522-1550,STUDENT
CB.EN.U4CSE20406,Saarah Mohamed,    reservoir,cb.en.u4cse20406@cb.students.amrita.edu,+91-935-551-6366,STUDENT
CB.EN.U4CSE20407,Grace Dixon,    unfortunate,cb.en.u4cse20407@cb.students.amrita.edu,+91-985-557-1362,STUDENT
CB.EN.U4CSE20408,Shauna Chung,    magnitude,cb.en.u4cse20408@cb.students.amrita.edu,+91-855-545-5324,STUDENT
CB.EN.U4CSE20409,Milo Smith,    extraterrestrial,cb.en.u4cse20409@cb.students.amrita.edu,+91-855-532-5176,STUDENT
CB.EN.U4CSE20410,Jac Bostock,    examination,cb.en.u4cse20410@cb.students.amrita.edu,+91-755-566-8992,STUDENT
CB.EN.U4CSE20411,Reema Brookes,    perforate,cb.en.u4cse20411@cb.students.amrita.edu,+91-855-588-3041,STUDENT
CB.EN.U4CSE20412,Simona Cisneros,    arrangement,cb.en.u4cse20412@cb.students.amrita.edu,+91-855-576-6650,STUDENT
CB.EN.U4CSE20413,Hendrix Farley,    federation,cb.en.u4cse20413@cb.students.amrita.edu,+91-755-593-8041,STUDENT
CB.EN.U4CSE20414,Umaima Couch,    extension,cb.en.u4cse20414@cb.students.amrita.edu,+91-855-583-6682,STUDENT
CB.EN.U4CSE20415,Asher Cullen,    constituency,cb.en.u4cse20415@cb.students.amrita.edu,+91-755-554-0244,STUDENT
CB.EN.U4CSE20416,Nuha Nash,    vegetable,cb.en.u4cse20416@cb.students.amrita.edu,+91-975-557-3869,STUDENT
CB.EN.U4CSE20417,Nancy Mccabe,    promotion,cb.en.u4cse20417@cb.students.amrita.edu,+91-755-578-5931,STUDENT
CB.EN.U4CSE20418,Neil Church,    legislation,cb.en.u4cse20418@cb.students.amrita.edu,+91-995-558-0436,STUDENT
CB.EN.U4CSE20419,Elisha Delgado,    compromise,cb.en.u4cse20419@cb.students.amrita.edu,+91-755-554-9440,STUDENT
CB.EN.U4CSE20420,Lana Cleveland,    appointment,cb.en.u4cse20420@cb.students.amrita.edu,+91-855-552-9722,STUDENT
CB.EN.U4ECE20000,Jessie Dorsey,    researcher,cb.en.u4ece20000@cb.students.amrita.edu,+91-855-590-5236,STUDENT
CB.EN.U4ECE20001,Lilith Baxter,    deficiency,cb.en.u4ece20001@cb.students.amrita.edu,+91-855-572-7378,STUDENT
CB.EN.U4ECE20002,Maxwell Thompson,    association,cb.en.u4ece20002@cb.students.amrita.edu,+91-995-551-6968,STUDENT
CB.EN.U4ECE20003,Amanda Wilkinson,    responsibility,cb.en.u4ece20003@cb.students.amrita.edu,+91-855-530-2049,STUDENT
CB.EN.U4ECE20004,Oakley Guerra,    decoration,cb.en.u4ece20004@cb.students.amrita.edu,+91-855-532-3751,STUDENT
CB.EN.U4ECE20005,Isaak Brooks,    conversation,cb.en.u4ece20005@cb.students.amrita.edu,+91-965-550-6637,STUDENT
CB.EN.U4ECE20006,Ellis Haney,    definition,cb.en.u4ece20006@cb.students.amrita.edu,+91-915-554-7867,STUDENT
CB.EN.U4ECE20007,Dexter Russell,    catalogue,cb.en.u4ece20007@cb.students.amrita.edu,+91-855-558-5528,STUDENT
CB.EN.U4ECE20008,Wil Holcomb,    consideration,cb.en.u4ece20008@cb.students.amrita.edu,+91-855-521-0538,STUDENT
CB.EN.U4ECE20009,Ayyub Mccartney,    astonishing,cb.en.u4ece20009@cb.students.amrita.edu,+91-755-545-6254,STUDENT
CB.EN.U4ECE20010,Lewie Nixon,    helicopter,cb.en.u4ece20010@cb.students.amrita.edu,+91-965-557-2222,STUDENT
CB.EN.U4ECE20011,Sophie-Louise Huff,    battlefield,cb.en.u4ece20011@cb.students.amrita.edu,+91-965-551-4772,STUDENT
CB.EN.U4ECE20012,Diane Brett,    literature,cb.en.u4ece20012@cb.students.amrita.edu,+91-755-540-5492,STUDENT
CB.EN.U4ECE20013,Kristy Flynn,    invisible,cb.en.u4ece20013@cb.students.amrita.edu,+91-755-541-9795,STUDENT
CB.EN.U4ECE20014,Zak Blanchard,    partnership,cb.en.u4ece20014@cb.students.amrita.edu,+91-855-571-0005,STUDENT
CB.EN.U4ECE20015,Bianca Richard,    butterfly,cb.en.u4ece20015@cb.students.amrita.edu,+91-945-556-5635,STUDENT
CB.EN.U4ECE20016,Jillian Whittaker,    incentive,cb.en.u4ece20016@cb.students.amrita.edu,+91-915-558-1744,STUDENT
CB.EN.U4ECE20017,Aniya Steele,    detective,cb.en.u4ece20017@cb.students.amrita.edu,+91-855-530-0891,STUDENT
CB.EN.U4ECE20018,Simran Hickman,    attractive,cb.en.u4ece20018@cb.students.amrita.edu,+91-755-533-3296,STUDENT
CB.EN.U4ECE20019,Emrys Dean,    resolution,cb.en.u4ece20019@cb.students.amrita.edu,+91-855-596-6952,STUDENT
CB.EN.U4ECE20020,Zayd Barber,    dimension,cb.en.u4ece20020@cb.students.amrita.edu,+91-855-587-7945,STUDENT
CB.EN.U4ECE20100,Alyssa Coulson,    transform,cb.en.u4ece20100@cb.students.amrita.edu,+91-755-542-3066,STUDENT
CB.EN.U4ECE20101,Roisin Pearce,    expenditure,cb.en.u4ece20101@cb.students.amrita.edu,+91-855-590-9325,STUDENT
CB.EN.U4ECE20102,Lewys Fitzgerald,    offspring,cb.en.u4ece20102@cb.students.amrita.edu,+91-855-592-9097,STUDENT
CB.EN.U4ECE20103,Bree Andrews,    insurance,cb.en.u4ece20103@cb.students.amrita.edu,+91-755-537-4813,STUDENT
CB.EN.U4ECE20104,Milly Steadman,    pneumonia,cb.en.u4ece20104@cb.students.amrita.edu,+91-955-557-0323,STUDENT
CB.EN.U4ECE20105,Ronan Esquivel,    hypothesis,cb.en.u4ece20105@cb.students.amrita.edu,+91-855-592-4572,STUDENT
CB.EN.U4ECE20106,Tamzin Dunlop,    improvement,cb.en.u4ece20106@cb.students.amrita.edu,+91-755-577-1461,STUDENT
CB.EN.U4ECE20107,Tristan Holman,    distribute,cb.en.u4ece20107@cb.students.amrita.edu,+91-755-578-2928,STUDENT
CB.EN.U4ECE20108,Charli Stott,    radiation sickness,cb.en.u4ece20108@cb.students.amrita.edu,+91-925-554-1054,STUDENT
CB.EN.U4ECE20109,Riley-James Mccray,    exploration,cb.en.u4ece20109@cb.students.amrita.edu,+91-915-559-5173,STUDENT
CB.EN.U4ECE20110,Chance Bevan,    neighbour,cb.en.u4ece20110@cb.students.amrita.edu,+91-855-515-0050,STUDENT
CB.EN.U4ECE20111,Paloma Collier,    deviation,cb.en.u4ece20111@cb.students.amrita.edu,+91-755-533-0339,STUDENT
CB.EN.U4ECE20112,Brayden Conley,    manufacturer,cb.en.u4ece20112@cb.students.amrita.edu,+91-855-570-7751,STUDENT
CB.EN.U4ECE20113,Milo Finley,    expansion,cb.en.u4ece20113@cb.students.amrita.edu,+91-855-506-9387,STUDENT
CB.EN.U4ECE20114,Haleema Bravo,    manufacture,cb.en.u4ece20114@cb.students.amrita.edu,+91-915-552-3946,STUDENT
CB.EN.U4ECE20115,Joanna Horner,    advertising,cb.en.u4ece20115@cb.students.amrita.edu,+91-855-574-8041,STUDENT
CB.EN.U4ECE20116,Anil Cunningham,    beautiful,cb.en.u4ece20116@cb.students.amrita.edu,+91-755-543-2319,STUDENT
CB.EN.U4ECE20117,Tiago Ashton,    craftsman,cb.en.u4ece20117@cb.students.amrita.edu,+91-955-554-5206,STUDENT
CB.EN.U4ECE20118,Connar Wu,    residence,cb.en.u4ece20118@cb.students.amrita.edu,+91-755-523-0007,STUDENT
CB.EN.U4ECE20119,Atif Barclay,    artificial,cb.en.u4ece20119@cb.students.amrita.edu,+91-855-501-8182,STUDENT
CB.EN.U4ECE20120,Yunus Irving,    comprehensive,cb.en.u4ece20120@cb.students.amrita.edu,+91-855-525-8369,STUDENT
CB.EN.U4EEE20000,Scarlett Stein,    conscious,cb.en.u4eee20000@cb.students.amrita.edu,+91-935-557-7600,STUDENT
CB.EN.U4EEE20001,Deniz Valentine,    accumulation,cb.en.u4eee20001@cb.students.amrita.edu,+91-855-571-3791,STUDENT
CB.EN.U4EEE20002,Tiffany Roach,    requirement,cb.en.u4eee20002@cb.students.amrita.edu,+91-855-501-1679,STUDENT
CB.EN.U4EEE20003,Ottilie Vega,    agriculture,cb.en.u4eee20003@cb.students.amrita.edu,+91-855-575-3176,STUDENT
CB.EN.U4EEE20004,Devan Kidd,    preference,cb.en.u4eee20004@cb.students.amrita.edu,+91-965-558-7070,STUDENT
CB.EN.U4EEE20005,Izaac Gallegos,    innovation,cb.en.u4eee20005@cb.students.amrita.edu,+91-755-507-3097,STUDENT
CB.EN.U4EEE20006,Alan Villarreal,    underline,cb.en.u4eee20006@cb.students.amrita.edu,+91-755-516-3575,STUDENT
CB.EN.U4EEE20007,Kameron Smith,    discriminate,cb.en.u4eee20007@cb.students.amrita.edu,+91-855-518-4601,STUDENT
CB.EN.U4EEE20008,Aditi Mack,    registration,cb.en.u4eee20008@cb.students.amrita.edu,+91-995-552-3804,STUDENT
CB.EN.U4EEE20009,Alma Frye,    accountant,cb.en.u4eee20009@cb.students.amrita.edu,+91-755-517-8071,STUDENT
CB.EN.U4EEE20010,Patrycja Roman,    homosexual,cb.en.u4eee20010@cb.students.amrita.edu,+91-755-571-7813,STUDENT
CB.EN.U4EEE20011,Hebe Cisneros,    representative,cb.en.u4eee20011@cb.students.amrita.edu,+91-855-547-8638,STUDENT
CB.EN.U4EEE20012,Natasha Davis,    landowner,cb.en.u4eee20012@cb.students.amrita.edu,+91-855-589-1072,STUDENT
CB.EN.U4EEE20013,Teri Betts,    formulate,cb.en.u4eee20013@cb.students.amrita.edu,+91-755-560-8683,STUDENT
CB.EN.U4EEE20014,Sianna Oconnell,    earthflax,cb.en.u4eee20014@cb.students.amrita.edu,+91-945-553-0416,STUDENT
CB.EN.U4EEE20015,Maxine Hester,    housewife,cb.en.u4eee20015@cb.students.amrita.edu,+91-945-551-3955,STUDENT
CB.EN.U4EEE20016,Jareth Bell,    translate,cb.en.u4eee20016@cb.students.amrita.edu,+91-755-560-1003,STUDENT
CB.EN.U4EEE20017,Leticia Blair,    premature,cb.en.u4eee20017@cb.students.amrita.edu,+91-755-599-8551,STUDENT
CB.EN.U4EEE20018,Martina Wall,    technology,cb.en.u4eee20018@cb.students.amrita.edu,+91-855-517-5172,STUDENT
CB.EN.U4EEE20019,Rafi Philip,    dictionary,cb.en.u4eee20019@cb.students.amrita.edu,+91-855-514-7643,STUDENT
CB.EN.U4EEE20020,Athena Parrish,    conspiracy,cb.en.u4eee20020@cb.students.amrita.edu,+91-995-555-3624,STUDENT
CB.EN.U4CIV20000,Sophia-Rose Ibarra,    situation,cb.en.u4civ20000@cb.students.amrita.edu,+91-855-527-1756,STUDENT
CB.EN.U4CIV20001,Sue Hardin,    ice cream,cb.en.u4civ20001@cb.students.amrita.edu,+91-965-557-6629,STUDENT
CB.EN.U4CIV20002,Phillippa Odom,    entitlement,cb.en.u4civ20002@cb.students.amrita.edu,+91-855-502-3610,STUDENT
CB.EN.U4CIV20003,Nojus Churchill,    strikebreaker,cb.en.u4civ20003@cb.students.amrita.edu,+91-755-534-9931,STUDENT
CB.EN.U4CIV20004,Hilary Perry,    parameter,cb.en.u4civ20004@cb.students.amrita.edu,+91-755-549-6879,STUDENT
CB.EN.U4CIV20005,Angela Maddox,    perception,cb.en.u4civ20005@cb.students.amrita.edu,+91-755-532-5241,STUDENT
CB.EN.U4CIV20006,Elana Rios,    interrupt,cb.en.u4civ20006@cb.students.amrita.edu,+91-855-543-0405,STUDENT
CB.EN.U4CIV20007,Tobi Oliver,    domination,cb.en.u4civ20007@cb.students.amrita.edu,+91-925-558-6140,STUDENT
CB.EN.U4CIV20008,Felix Brennan,    foundation,cb.en.u4civ20008@cb.students.amrita.edu,+91-905-551-6074,STUDENT
CB.EN.U4CIV20009,Waseem Vinson,    multimedia,cb.en.u4civ20009@cb.students.amrita.edu,+91-975-558-8482,STUDENT
CB.EN.U4CIV20010,Garin Terrell,    fisherman,cb.en.u4civ20010@cb.students.amrita.edu,+91-905-559-0390,STUDENT
CB.EN.U4CIV20011,Kofi Walmsley,    convention,cb.en.u4civ20011@cb.students.amrita.edu,+91-925-556-2650,STUDENT
CB.EN.U4CIV20012,Mariam Hays,    rehabilitation,cb.en.u4civ20012@cb.students.amrita.edu,+91-755-539-8277,STUDENT
CB.EN.U4CIV20013,Simra Cross,    economics,cb.en.u4civ20013@cb.students.amrita.edu,+91-755-532-5397,STUDENT
CB.EN.U4CIV20014,Rae Reese,    coincidence,cb.en.u4civ20014@cb.students.amrita.edu,+91-755-515-2457,STUDENT
CB.EN.U4CIV20015,Hussain Padilla,    settlement,cb.en.u4civ20015@cb.students.amrita.edu,+91-855-581-6923,STUDENT
CB.EN.U4CIV20016,Yassin Trejo,    machinery,cb.en.u4civ20016@cb.students.amrita.edu,+91-855-576-7542,STUDENT
CB.EN.U4CIV20017,Timothy Whyte,    exception,cb.en.u4civ20017@cb.students.amrita.edu,+91-855-514-7425,STUDENT
CB.EN.U4CIV20018,Idrees Mccormick,    participate,cb.en.u4civ20018@cb.students.amrita.edu,+91-955-559-3196,STUDENT
CB.EN.U4CIV20019,Aqeel Mckee,    acquaintance,cb.en.u4civ20019@cb.students.amrita.edu,+91-755-568-2337,STUDENT
CB.EN.U4CIV20020,Billy-Joe Deacon,    microphone,cb.en.u4civ20020@cb.students.amrita.edu,+91-855-587-9629,STUDENT
CB.EN.U4MEC20000,Bethaney Bain,    thoughtful,cb.en.u4mec20000@cb.students.amrita.edu,+91-755-588-7591,STUDENT
CB.EN.U4MEC20001,Fiza Bowman,    houseplant,cb.en.u4mec20001@cb.students.amrita.edu,+91-855-573-0867,STUDENT
CB.EN.U4MEC20002,Franco Doyle,    apparatus,cb.en.u4mec20002@cb.students.amrita.edu,+91-755-570-0279,STUDENT
CB.EN.U4MEC20003,Lauren Richmond,    highlight,cb.en.u4mec20003@cb.students.amrita.edu,+91-855-581-8699,STUDENT
CB.EN.U4MEC20004,Enid Boyle,    temptation,cb.en.u4mec20004@cb.students.amrita.edu,+91-755-535-7188,STUDENT
CB.EN.U4MEC20005,Abdirahman Ferguson,    inflation,cb.en.u4mec20005@cb.students.amrita.edu,+91-755-525-3716,STUDENT
CB.EN.U4MEC20006,Ela Hamilton,    allowance,cb.en.u4mec20006@cb.students.amrita.edu,+91-855-539-8505,STUDENT
CB.EN.U4MEC20007,Erik Guthrie,    transition,cb.en.u4mec20007@cb.students.amrita.edu,+91-965-554-2106,STUDENT
CB.EN.U4MEC20008,Darlene Franks,    mail carrier,cb.en.u4mec20008@cb.students.amrita.edu,+91-755-582-2038,STUDENT
CB.EN.U4MEC20009,Ben Ortega,    leadership,cb.en.u4mec20009@cb.students.amrita.edu,+91-855-519-8338,STUDENT
CB.EN.U4MEC20010,Riley-Jay Samuels,    relaxation,cb.en.u4mec20010@cb.students.amrita.edu,+91-855-558-6697,STUDENT
CB.EN.U4MEC20011,Shivani George,    challenge,cb.en.u4mec20011@cb.students.amrita.edu,+91-855-516-7514,STUDENT
CB.EN.U4MEC20012,Safiyyah Chapman,    wilderness,cb.en.u4mec20012@cb.students.amrita.edu,+91-755-550-2778,STUDENT
CB.EN.U4MEC20013,Raj Pierce,    agreement,cb.en.u4mec20013@cb.students.amrita.edu,+91-995-555-1692,STUDENT
CB.EN.U4MEC20014,Nella Maynard,    compensation,cb.en.u4mec20014@cb.students.amrita.edu,+91-755-586-1328,STUDENT
CB.EN.U4MEC20015,Madeline Durham,    cell phone,cb.en.u4mec20015@cb.students.amrita.edu,+91-965-554-9739,STUDENT
